customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10019,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,91.78,4448.72,No
CUST-10020,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer,31.88,1827.45,No
CUST-10021,Male,1,No,No,41,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,103.28,4211.54,Yes
CUST-10022,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,33.79,1897.24,Yes
CUST-10023,Female,0,Yes,No,14,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,48.72,662.72,No
CUST-10024,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,43.4,2695.05,No
CUST-10025,Male,0,No,No,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,55.98,3437.94,No
CUST-10026,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,43.98,1973.24,No
CUST-10027,Male,1,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,67.87,4044.88,No
CUST-10028,Male,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,59.56,2970.88,No
CUST-10029,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,118.63,6452.21,Yes
CUST-10030,Male,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,23.7,1469.16,No
CUST-10031,Female,1,Yes,No,2,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,32.5,0.0,No
CUST-10032,Male,1,Yes,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.39,1140.02,No
CUST-10033,Female,0,No,Yes,6,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer,81.84,507.35,No
CUST-10034,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer,23.56,533.32,No
CUST-10035,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,103.32,7426.21,Yes
CUST-10036,Male,0,No,No,38,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.22,2721.1,Yes
CUST-10037,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,71.75,1266.95,No
CUST-10038,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,75.28,167.01,No
CUST-10039,Female,1,Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,35.42,2152.32,No
CUST-10040,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,38.16,510.84,No
CUST-10041,Male,1,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer,50.52,343.83,No
CUST-10042,Male,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,78.54,4172.12,No
CUST-10043,Female,0,Yes,No,1,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,39.43,33.15,Yes
CUST-10044,Male,1,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,29.87,1665.16,No
CUST-10045,Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,116.95,8151.19,Yes
CUST-10046,Male,1,Yes,Yes,43,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card,20.24,822.7,Yes
CUST-10047,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,99.88,665.07,No
CUST-10048,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,98.38,4503.22,Yes
CUST-10049,Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,48.32,1630.01,No
CUST-10050,Female,0,Yes,Yes,35,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.83,1099.3,No
CUST-10051,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,32.85,1604.78,Yes
CUST-10052,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,89.14,296.79,Yes
CUST-10053,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card,83.57,46.25,Yes
CUST-10054,Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card,97.84,548.25,Yes
CUST-10055,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,113.62,5960.6,No
CUST-10056,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,88.58,296.5,No
CUST-10057,Female,0,No,Yes,53,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,33.9,1878.86,No
CUST-10058,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,42.83,2646.59,No
CUST-10059,Male,1,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,103.9,1775.97,No
CUST-10060,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,39.35,1643.65,No
CUST-10061,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,25.4,812.61,No
CUST-10062,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,89.73,5551.91,No
CUST-10063,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card,59.06,805.2,Yes
CUST-10064,Female,0,No,No,47,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,111.84,5277.41,No
CUST-10065,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,84.33,1083.72,No
CUST-10066,Male,0,No,No,71,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,27.22,1896.8,No
CUST-10067,Female,0,No,No,61,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,114.68,7082.43,No
CUST-10068,Male,0,No,No,39,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,44.37,1750.97,No
CUST-10069,Male,1,Yes,Yes,52,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,52.4,2751.58,No
CUST-10070,Male,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,59.03,1366.22,Yes
CUST-10071,Male,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,23.22,549.85,Yes
CUST-10072,Male,0,Yes,No,59,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.64,4066.39,No
CUST-10073,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card,30.58,1146.69,Yes
CUST-10074,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,58.9,1568.93,Yes
CUST-10075,Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,53.77,716.02,No
CUST-10076,Male,0,No,Yes,44,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer,96.83,4270.13,No
CUST-10077,Male,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,99.92,6316.4,No
CUST-10078,Male,1,No,No,70,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,33.65,2361.85,No
CUST-10079,Male,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.39,393.39,Yes
CUST-10080,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,56.08,0.0,Yes
CUST-10081,Female,0,Yes,Yes,7,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,33.44,299.06,No
CUST-10082,Female,0,No,No,62,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,99.44,6167.14,No
CUST-10083,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,90.14,856.21,Yes
CUST-10084,Male,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,37.42,271.28,No
CUST-10085,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,55.41,1810.46,No
CUST-10086,Male,0,No,No,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,28.79,997.98,No
CUST-10087,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,82.08,2681.93,No
CUST-10088,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,30.38,154.61,No
CUST-10089,Female,0,No,No,40,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,118.57,4850.69,No
CUST-10090,Male,0,Yes,No,27,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card,97.63,2539.09,Yes
CUST-10091,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,57.8,353.15,No
CUST-10092,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,77.01,5477.54,No
CUST-10093,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,110.96,7869.5,No
CUST-10094,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.52,819.8,No
CUST-10095,Female,0,No,Yes,33,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,35.8,1295.39,Yes
CUST-10096,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,56.63,1809.17,Yes
CUST-10097,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.0,4884.08,No
CUST-10098,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card,83.71,1891.88,No
CUST-10099,Male,0,No,No,61,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.37,5143.93,No
CUST-10100,Female,0,Yes,No,36,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Mailed check,106.42,3922.68,No
CUST-10101,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card,109.19,4728.65,Yes
CUST-10102,Female,0,No,Yes,34,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer,111.82,3843.31,No
CUST-10103,Male,0,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.67,1677.5,No
CUST-10104,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.5,3480.26,Yes
CUST-10105,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card,93.53,154.24,Yes
CUST-10106,Female,1,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,95.21,0.0,No
CUST-10107,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,79.89,286.92,No
CUST-10108,Male,1,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,35.01,403.92,No
CUST-10109,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,99.34,2522.73,No
CUST-10110,Male,0,Yes,Yes,8,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer,91.45,736.76,No
CUST-10111,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,26.79,276.57,No
CUST-10112,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,65.31,2665.57,No
CUST-10113,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.75,1840.39,No
CUST-10114,Female,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,52.42,3281.64,Yes
CUST-10115,Male,1,Yes,No,51,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,19.84,1033.46,No
CUST-10116,Female,1,No,Yes,3,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer,58.83,131.72,No
CUST-10117,Male,0,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,74.09,1550.68,No
CUST-10118,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,81.2,1188.89,No
CUST-10119,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,85.68,3576.11,No
CUST-10120,Male,1,No,Yes,28,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,103.3,2888.25,No
CUST-10121,Female,0,Yes,No,35,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,39.98,1389.42,Yes
CUST-10122,Male,0,Yes,Yes,12,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,30.29,397.1,No
CUST-10123,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,104.86,3342.83,Yes
CUST-10124,Female,0,No,No,70,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.97,2451.02,No
CUST-10125,Male,1,No,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card,117.43,6694.33,Yes
CUST-10126,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,103.94,2790.95,No
CUST-10127,Male,1,No,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,69.09,4423.51,No
CUST-10128,Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,118.1,4889.02,No
CUST-10129,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,27.93,1229.12,No
CUST-10130,Female,0,Yes,No,61,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,48.91,3013.82,No
CUST-10131,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,83.1,4633.89,No
CUST-10132,Female,0,No,No,5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,53.7,216.53,Yes
CUST-10133,Male,1,No,No,27,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,112.69,2999.22,Yes
CUST-10134,Male,0,Yes,Yes,27,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,24.69,589.98,Yes
CUST-10135,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,74.04,3120.54,No
CUST-10136,Female,0,No,Yes,29,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.27,2196.12,No
CUST-10137,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.58,5107.59,Yes
CUST-10138,Female,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,44.08,2634.27,No
CUST-10139,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.19,19.7,Yes
CUST-10140,Male,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,104.06,2723.3,No
CUST-10141,Female,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,37.88,2330.33,No
CUST-10142,Male,1,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,102.34,263.43,No
CUST-10143,Female,0,No,No,69,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,75.39,5197.99,Yes
CUST-10144,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.74,6758.5,No
CUST-10145,Female,0,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,90.79,2471.11,No
CUST-10146,Male,0,No,Yes,8,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,39.17,358.64,No
CUST-10147,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.02,4644.84,No
CUST-10148,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.51,3838.5,No
CUST-10149,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,62.08,3118.48,No
CUST-10150,Female,0,No,No,43,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card,116.59,5003.26,No
CUST-10151,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,64.13,1481.4,No
CUST-10152,Male,0,No,Yes,58,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,32.56,1913.45,No
CUST-10153,Male,0,No,Yes,31,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card,57.72,1752.99,No
CUST-10154,Male,1,Yes,Yes,51,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,115.07,5786.86,No
CUST-10155,Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,50.61,2983.43,No
CUST-10156,Male,0,No,No,57,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,106.55,6117.74,No
CUST-10157,Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,107.89,5423.24,No
CUST-10158,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,53.72,614.19,Yes
CUST-10159,Male,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,26.49,948.9,No
CUST-10160,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.9,34.99,Yes
CUST-10161,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,49.77,63.63,Yes
CUST-10162,Male,0,No,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,97.86,5392.01,No
CUST-10163,Male,0,Yes,No,58,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,63.15,3598.27,No
CUST-10164,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,67.5,36.65,No
CUST-10165,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer,97.35,96.06,Yes
CUST-10166,Male,0,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,57.0,2960.49,Yes
CUST-10167,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,63.2,71.41,No
CUST-10168,Male,1,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,56.37,928.53,No
CUST-10169,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.47,44.56,No
CUST-10170,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,71.65,3789.43,No
CUST-10171,Male,1,No,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,100.5,4255.28,No
CUST-10172,Female,0,Yes,Yes,31,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,54.9,1696.42,No
CUST-10173,Female,0,No,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card,71.47,4938.07,No
CUST-10174,Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,86.41,2638.37,No
CUST-10175,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,45.48,3043.29,No
CUST-10176,Female,0,No,No,54,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,46.31,2528.81,Yes
CUST-10177,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,113.21,6203.19,No
CUST-10178,Female,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,91.8,1507.02,No
CUST-10179,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer,76.87,2863.83,No
CUST-10180,Female,0,No,No,23,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card,84.07,1904.46,No
